Sector,Ticker,Company Name,2026-05-13 Close,2026-05-13 Change,2026-05-13 Change %,2026-05-14 Close,2026-05-14 Change,2026-05-14 Change %,2026-05-15 Close,2026-05-15 Change,2026-05-15 Change %,2026-05-18 Close,2026-05-18 Change,2026-05-18 Change %,2026-05-19 Close,2026-05-19 Change,2026-05-19 Change %
HKEX,0011,HANG SENG BANK,,,,,,,,,,,,,,,
HKEX,0005,HSBC HOLDINGS,141.1,2.5,1.8,140.5,-0.6,-0.43,139.4,-1.1,-0.78,138.1,-1.3,-0.93,140.3,2.2,1.59
HKEX,2888,STANCHART,198.1,4.1,2.11,199.4,1.3,0.66,198.0,-1.4,-0.7,196.6,-1.4,-0.71,201.2,4.6,2.34
HKEX,1288,ABC,6.09,0.06,1.0,6.09,0.0,0.0,6.1,0.01,0.16,6.07,-0.03,-0.49,6.06,-0.01,-0.16
HKEX,1398,ICBC,7.0,-0.05,-0.71,7.04,0.04,0.57,6.89,-0.15,-2.13,6.85,-0.04,-0.58,6.93,0.08,1.17
HKEX,3988,BANK OF CHINA,5.22,-0.02,-0.38,5.29,0.07,1.34,5.22,-0.07,-1.32,5.21,-0.01,-0.19,5.27,0.06,1.15
HKEX,0939,CCB,8.87,-0.03,-0.34,8.87,0.0,0.0,8.78,-0.09,-1.01,8.76,-0.02,-0.23,8.85,0.09,1.03
HKEX,3328,BANKCOMM,7.3,-0.01,-0.14,7.36,0.06,0.82,7.29,-0.07,-0.95,7.25,-0.04,-0.55,7.28,0.03,0.41
HKEX,3968,CM BANK,47.22,-0.3,-0.63,47.48,0.26,0.55,46.94,-0.54,-1.14,46.58,-0.36,-0.77,46.34,-0.24,-0.52
HKEX,0386,SINOPEC CORP,4.65,0.03,0.65,4.57,-0.08,-1.72,4.49,-0.08,-1.75,4.49,0.0,0.0,4.5,0.01,0.22
HKEX,0857,PETROCHINA,11.06,0.0,0.0,10.92,-0.14,-1.27,10.89,-0.03,-0.27,10.99,0.1,0.92,11.12,0.13,1.18
HKEX,0883,CNOOC,26.62,-0.3,-1.11,26.36,-0.26,-0.98,26.42,0.06,0.23,26.76,0.34,1.29,27.56,0.8,2.99
HKEX,3983,CHINA BLUECHEM,2.69,0.03,1.13,2.61,-0.08,-2.97,2.56,-0.05,-1.92,2.52,-0.04,-1.56,2.48,-0.04,-1.59
HKEX,1766,CRRC,5.43,-0.02,-0.37,5.37,-0.06,-1.1,5.32,-0.05,-0.93,5.17,-0.15,-2.82,5.3,0.13,2.51
HKEX,1186,CHINA RAIL CONS,5.18,-0.02,-0.38,5.15,-0.03,-0.58,5.11,-0.04,-0.78,5.13,0.02,0.39,5.09,-0.04,-0.78
HKEX,0390,CHINA RAILWAY,3.87,0.02,0.52,3.81,-0.06,-1.55,3.73,-0.08,-2.1,3.62,-0.11,-2.95,3.58,-0.04,-1.1
HKEX,3969,CHINA CRSC,3.56,-0.03,-0.84,3.59,0.03,0.84,3.53,-0.06,-1.67,3.49,-0.04,-1.13,3.5,0.01,0.29
HKEX,2318,PING AN,64.1,-0.9,-1.38,63.5,-0.6,-0.94,62.45,-1.05,-1.65,61.85,-0.6,-0.96,61.4,-0.45,-0.73
HKEX,2628,CHINA LIFE,29.96,-0.62,-2.03,29.88,-0.08,-0.27,29.88,0.0,0.0,29.76,-0.12,-0.4,29.62,-0.14,-0.47
HKEX,0728,CHINA TELECOM,5.45,-0.01,-0.18,5.51,0.06,1.1,5.32,-0.19,-3.45,5.64,0.32,6.02,5.68,0.04,0.71
HKEX,0941,CHINA MOBILE,86.55,0.05,0.06,86.7,0.15,0.17,86.2,-0.5,-0.58,86.4,0.2,0.23,86.8,0.4,0.46
HKEX,0763,ZTE,26.88,0.5,1.9,26.14,-0.74,-2.75,25.22,-0.92,-3.52,25.12,-0.1,-0.4,24.72,-0.4,-1.59
HKEX,2038,FIH,29.66,0.46,1.58,29.88,0.22,0.74,29.96,0.08,0.27,29.7,-0.26,-0.87,28.96,-0.74,-2.49
HKEX,1810,XIAOMI-W,31.8,0.34,1.08,31.72,-0.08,-0.25,30.7,-1.02,-3.22,30.66,-0.04,-0.13,30.64,-0.02,-0.07
HKEX,6082,BIREN TECH,55.25,0.1,0.18,51.8,-3.45,-6.24,47.84,-3.96,-7.64,47.42,-0.42,-0.88,47.84,0.42,0.89
HKEX,0700,TENCENT,462.6,5.4,1.18,460.2,-2.4,-0.52,456.4,-3.8,-0.83,449.2,-7.2,-1.58,460.0,10.8,2.4
HKEX,9988,BABA-W,132.8,-0.5,-0.38,137.9,5.1,3.84,132.3,-5.6,-4.06,131.7,-0.6,-0.45,133.3,1.6,1.21
HKEX,9618,JD-SW,128.2,9.8,8.28,130.1,1.9,1.48,127.9,-2.2,-1.69,126.5,-1.4,-1.09,125.9,-0.6,-0.47
HKEX,3690,MEITUAN-W,87.6,3.45,4.1,85.7,-1.9,-2.17,82.7,-3.0,-3.5,82.15,-0.55,-0.67,83.05,0.9,1.1
HKEX,9888,BIDU-SW,137.5,-2.2,-1.57,140.9,3.4,2.47,135.8,-5.1,-3.62,134.7,-1.1,-0.81,136.7,2.0,1.48
HKEX,0981,SMIC,74.15,-2.45,-3.2,71.5,-2.65,-3.57,71.15,-0.35,-0.49,68.7,-2.45,-3.44,68.5,-0.2,-0.29
HKEX,1211,BYD COMPANY,98.15,-1.7,-1.7,98.15,0.0,0.0,96.45,-1.7,-1.73,93.8,-2.65,-2.75,93.9,0.1,0.11
HKEX,1024,KUAISHOU-W,51.6,-1.0,-1.9,50.85,-0.75,-1.45,49.34,-1.51,-2.97,48.68,-0.66,-1.34,48.88,0.2,0.41
HKEX,3033,CSOP HS TECH,4.99,0.02,0.4,4.96,-0.03,-0.6,4.83,-0.13,-2.62,4.74,-0.09,-1.86,4.76,0.02,0.42
HKEX,3067,ISHARESHSTECH,10.72,0.06,0.56,10.65,-0.07,-0.65,10.37,-0.28,-2.63,10.17,-0.2,-1.93,10.23,0.06,0.59
HKEX,0388,HKEX,423.8,0.0,0.0,423.6,-0.2,-0.05,416.4,-7.2,-1.7,410.0,-6.4,-1.54,410.0,0.0,0.0
HKEX,1928,SANDS CHINA LTD,16.03,-0.11,-0.68,16.05,0.02,0.12,15.96,-0.09,-0.56,15.72,-0.24,-1.5,15.74,0.02,0.13
HKEX,3750,CATL,673.0,21.5,3.3,686.0,13.0,1.93,680.0,-6.0,-0.87,674.5,-5.5,-0.81,660.0,-14.5,-2.15
HKEX,9868,XPENG-W,62.4,-0.2,-0.32,62.25,-0.15,-0.24,61.3,-0.95,-1.53,60.65,-0.65,-1.06,58.5,-2.15,-3.54
SGX,O39,OCBC Bank,22.89,0.56,2.51,22.95,0.06,0.26,22.93,-0.02,-0.09,23.04,0.11,0.48,23.43,0.39,1.69
SGX,D05,DBS,59.9,0.8,1.35,60.13,0.23,0.38,60.2,0.07,0.12,60.76,0.56,0.93,62.0,1.24,2.04
SGX,U11,UOB,37.35,0.24,0.65,37.37,0.02,0.05,37.3,-0.07,-0.19,37.29,-0.01,-0.03,37.75,0.46,1.23
SGX,U96,Sembcorp Ind,6.25,0.03,0.48,6.19,-0.06,-0.96,6.13,-0.06,-0.97,6.11,-0.02,-0.33,6.12,0.01,0.16
SGX,5E2,Seatrium Ltd,2.32,-0.03,-1.28,2.29,-0.03,-1.29,2.25,-0.04,-1.75,2.24,-0.01,-0.44,2.25,0.01,0.45
SGX,S58,SATS,3.28,0.0,0.0,3.23,-0.05,-1.52,3.25,0.02,0.62,3.21,-0.04,-1.23,3.26,0.05,1.56
SGX,S63,ST Engineering,10.78,0.14,1.32,10.52,-0.26,-2.41,10.37,-0.15,-1.43,10.79,0.42,4.05,11.02,0.23,2.13
SGX,S08,SingPost,0.375,-0.005,-1.32,0.355,-0.02,-5.33,0.335,-0.02,-5.63,0.335,0.0,0.0,0.34,0.005,1.49
SGX,Z74,Singtel,4.82,0.1,2.12,4.87,0.05,1.04,4.82,-0.05,-1.03,4.87,0.05,1.04,4.98,0.11,2.26
SGX,CC3,StarHub,1.0,-0.02,-1.96,1.01,0.01,1.0,1.0,-0.01,-0.99,1.0,0.0,0.0,1.03,0.03,3.0
SGX,BS6,YZJ Shipbldg SGD,4.02,0.07,1.77,3.98,-0.04,-1.0,3.97,-0.01,-0.25,3.92,-0.05,-1.26,3.94,0.02,0.51
SGX,BN4,Keppel,10.89,0.11,1.02,10.7,-0.19,-1.74,10.6,-0.1,-0.93,10.38,-0.22,-2.08,10.23,-0.15,-1.45
SGX,C09,CityDev,8.11,-0.02,-0.25,7.86,-0.25,-3.08,7.86,0.0,0.0,7.84,-0.02,-0.25,8.22,0.38,4.85
SGX,Y92,ThaiBev,0.42,0.0,0.0,0.42,0.0,0.0,0.43,0.01,2.38,0.445,0.015,3.49,0.465,0.02,4.49
SGX,G13,Genting Sing,0.62,-0.07,-10.14,0.6,-0.02,-3.23,0.595,-0.005,-0.83,0.59,-0.005,-0.84,0.585,-0.005,-0.85
SGX,M01,Metro,0.48,0.0,0.0,0.48,0.0,0.0,0.485,0.005,1.04,0.485,0.0,0.0,0.485,0.0,0.0
SGX,F34,Wilmar Intl,3.78,0.11,3.0,3.8,0.02,0.53,3.8,0.0,0.0,3.71,-0.09,-2.37,3.65,-0.06,-1.62
SGX,Z59,Yoma Strategic,0.081,0.0,0.0,0.081,0.0,0.0,0.08,-0.001,-1.23,0.081,0.001,1.25,0.08,-0.001,-1.23
SGX,S68,SGX,21.58,0.48,2.27,21.3,-0.28,-1.3,21.13,-0.17,-0.8,21.14,0.01,0.05,21.67,0.53,2.51
SGX,S59,SIA Engineering,3.24,-0.04,-1.22,3.16,-0.08,-2.47,3.15,-0.01,-0.32,3.11,-0.04,-1.27,3.16,0.05,1.61
SGX,MZH,Nanofilm,1.64,0.07,4.46,1.55,-0.09,-5.49,1.39,-0.16,-10.32,1.37,-0.02,-1.44,1.34,-0.03,-2.19
